Sixth Man of the Year,,,,,,,,,,
YEAR,PLAYER,POS,TEAM,FG%,PPG,RPG,APG,BLKPG,,
2023,Malcolm Brogdon,PG,Boston Celtics,0.484,14.9,4.2,3.7,0.3,1627763,1
2022,Tyler Herro,PG,Miami Heat,0.447,20.7,5,4,0.1,1629639,1
2021,Jordan Clarkson,PG,Utah Jazz,0.425,18.4,4,2.5,0.1,203903,1
2020,Montrezl Harrell,F,LA Clippers,0.58,18.6,7.1,1.7,1.1,1626149,1
2019,Lou Williams,G,LA Clippers,0.425,20,3,5.4,0.1,101150,3
2018,Lou Williams,G,LA Clippers,0.435,22.6,2.5,5.3,0.2,101150,3
2017,Eric Gordon,G,Houston Rockets,0.406,16.2,2.7,2.5,0.5,201569,1
2016,Jamal Crawford,G,LA Clippers,0.404,14.2,1.8,2.3,0.2,2037,3
2015,Lou Williams,G,Toronto Raptors,0.404,15.5,1.9,2.1,0.1,101150,3
2014,Jamal Crawford,G,LA Clippers,0.416,18.6,2.3,3.2,0.2,2037,3
2013,JR Smith,G,New York Knicks,0.422,18.1,5.3,2.7,0.3,2747,1
2012,James Harden,SG,Oklahoma City Thunder,0.491,16.8,4.1,3.7,0.2,201935,1
2011,Lamar Odom,PF,Los Angeles Lakers,0.53,14.4,8.7,3,0.7,1885,1
2010,Jamal Crawford,G,Atlanta Hawks,0.449,18,2.5,3,0.2,2037,3
2009,Jason Terry,G,Dallas Mavericks,0.463,19.6,2.4,3.4,0.3,1891,1
2008,Manu Ginobili,G,San Antonio Spurs,0.46,19.5,4.8,4.5,0.4,1938,1
2007,Leandro Barbosa,G,Phoenix Suns,0.476,18.1,2.7,4,0.2,2571,1
2006,Mike Miller,SG,Memphis Grizzlies,0.466,13.7,5.4,2.7,0.4,2034,1
2005,Ben Gordon,SG,Chicago Bulls,0.411,15.1,2.6,2,0.1,2732,1
2004,Antawn Jamison,PF,Dallas Mavericks,0.535,14.8,6.3,0.9,0.4,1712,1
2003,Bobby Jackson,PG,Sacramento Kings,0.464,15.2,3.7,3.1,0.1,1517,1
2002,Corliss Williamson,PF,Detroit Pistons,0.51,13.6,4.1,1.2,0.3,722,1
2001,Aaron McKie,SG,Philadelphia 76ers,0.473,11.6,4.1,5,0.1,243,1
2000,Rodney Rogers,SF,Phoenix Suns,0.486,13.8,5.5,2.1,0.6,915,1
1999,Darrel Armstrong,PG,Orlando Magic,0.441,13.8,3.6,6.7,0.1,353,1
1998,Danny Manning,F,Phoenix Suns,0.516,13.5,5.6,2,0.7,330,1
1997,John Starks,G,New York Knicks,0.431,13.8,2.7,2.8,0.1,317,1
1996,Toni Kukoc,SF,Chicago Bulls,0.49,13.1,4,3.5,0.3,389,1
1995,Anthony Mason,F,New York Knicks,0.566,9.9,8.4,3.1,0.3,193,1
1994,Dell Curry,G,Charlotte Hornets,0.455,16.3,3.2,2.7,0.3,209,1
1993,Clifford Robinson,PF,Portland Trail Blazers,0.473,19.1,6.6,2.2,2,361,1
1992,Detlef Schrempf,F,Indiana Pacers,0.536,17.3,9.6,3.9,0.5,96,2
1991,Detlef Schrempf,F,Indiana Pacers,0.52,16.1,8,3.7,0.3,96,2
1990,Ricky Pierce,G,Milwaukee Bucks,0.51,23,2.8,2.3,0.1,894,2
1989,Eddie Johnson,G,Phoenix Suns,0.497,21.5,4.4,2.3,0.1,698,1
1988,Roy Tarpley,C,Dallas Mavericks,0.5,13.5,11.8,1.1,1.1,78293,1
1987,Ricky Pierce,G,Milwaukee Bucks,0.534,19.5,3.4,1.8,0.3,894,2
1986,Bill Walton,,Boston Celtics,No stats available.,,,,,78450,1
1985,Kevin McHale,,Boston Celtics,No stats available.,,,,,1450,2
1984,Kevin McHale,,Boston Celtics,No stats available.,,,,,1450,2
1983,Bobby Jones,SF,Philadelphia 76ers,No stats available.,,,,,77193,1
